c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Sr2+,Lu3+,Ge4+,1.32,0.95,1.001,1.27,0.67,2.01,-0.23552982093750038
Ca2+,Yb3+,Si4+,1.14,1.0,1.008,1.1,0.54,1.9,-0.23776696037500072
Lu3+,Lu3+,Al3+,1.001,1.27,1.001,1.27,0.675,1.61,0.022998304468750064
Ba2+,Cr3+,Sn4+,1.49,0.89,0.755,1.66,0.83,1.96,-0.013788516124999362
Nd3+,Al3+,Ga3+,1.123,1.14,0.675,1.61,0.76,1.81,-0.06901489831249955
Dy3+,Lu3+,Al3+,1.052,1.22,1.001,1.27,0.675,1.61,-0.020020339937500253
Dy3+,Yb3+,Al3+,1.052,1.22,1.008,1.1,0.675,1.61,-0.10980526662499983
Cd2+,Lu3+,Ti4+,1.09,1.69,1.001,1.27,0.745,1.54,0.0005141778125008045
Yb3+,Ga3+,Al3+,1.008,1.1,0.76,1.81,0.675,1.61,-0.20054040431249973
Ba2+,Ho3+,Sn4+,1.49,0.89,1.041,1.23,0.83,1.96,-0.09508498174999964
Nd3+,Lu3+,Al3+,1.123,1.14,1.001,1.27,0.675,1.61,-0.056997987374999684
Er3+,Lu3+,Ga3+,1.03,1.24,1.001,1.27,0.76,1.81,-0.014212805156249075
Na1+,Lu3+,As5+,1.16,0.93,1.001,1.27,0.6,2.18,-0.3743643583750007
Zn2+,Lu3+,Ge4+,0.88,1.65,1.001,1.27,0.67,2.01,0.10970972956250016
Ho3+,In3+,Al3+,1.041,1.23,0.94,1.78,0.675,1.61,-0.011797170125000634
Gd3+,Dy3+,Ga3+,1.075,1.2,1.052,1.22,0.76,1.81,-0.02062676265625001
Y3+,Lu3+,Ga3+,1.04,1.22,1.001,1.27,0.76,1.81,-0.030122501562499692
Ba2+,Yb3+,Si4+,1.49,0.89,1.008,1.1,0.54,1.9,-0.2773806507500005
Yb3+,Al3+,Al3+,1.008,1.1,0.675,1.61,0.675,1.61,-0.21420046418749977
Ca2+,Yb3+,Ge4+,1.14,1.0,1.008,1.1,0.67,2.01,-0.27972184012499995
Cd2+,Lu3+,Sn4+,1.09,1.69,1.001,1.27,0.83,1.96,0.11328764356250076
Ca2+,Lu3+,Ti4+,1.14,1.0,1.001,1.27,0.745,1.54,-0.13913310381249885
Tm3+,Yb3+,Al3+,1.02,1.25,1.008,1.1,0.675,1.61,-0.08128510815625134
Cd2+,Al3+,Ge4+,1.09,1.69,0.675,1.61,0.67,2.01,-0.0781029496249996
Er3+,Rh3+,Ga3+,1.03,1.24,0.805,2.28,0.76,1.81,-0.031372454968749255
Yb3+,Lu3+,Ga3+,1.008,1.1,1.001,1.27,0.76,1.81,-0.1941397128749994
Mg2+,Lu3+,Si4+,0.86,1.31,1.001,1.27,0.54,1.9,0.06667317906250006
Yb3+,Rh3+,Al3+,1.008,1.1,0.805,2.28,0.675,1.61,-0.24808395693750002
Pr3+,Y3+,Al3+,1.13,1.13,1.04,1.22,0.675,1.61,-0.039806612250000484
Pr3+,Lu3+,Ga3+,1.13,1.13,1.001,1.27,0.76,1.81,-0.08320421543749994
Y3+,Ga3+,Ga3+,1.04,1.22,0.76,1.81,0.76,1.81,-0.05167376375000003
Y3+,Ga3+,Al3+,1.04,1.22,0.76,1.81,0.675,1.61,-0.03797249624999992
Nd3+,Yb3+,Ga3+,1.123,1.14,1.008,1.1,0.76,1.81,-0.17160971718750062
Sr2+,Yb3+,Si4+,1.32,0.95,1.008,1.1,0.54,1.9,-0.28961229162500074
Nd3+,Yb3+,Al3+,1.123,1.14,1.008,1.1,0.675,1.61,-0.15001215943750096
Bi3+,Lu3+,Ga3+,1.17,2.02,1.001,1.27,0.76,1.81,-0.017111041624999147
Bi3+,Yb3+,Al3+,1.17,2.02,1.008,1.1,0.675,1.61,-0.09257005268749978
Cd2+,Lu3+,Si4+,1.09,1.69,1.001,1.27,0.54,1.9,-0.027871600312500532
Zn2+,In3+,Sn4+,0.88,1.65,0.94,1.78,0.83,1.96,0.30625492493749995
Lu3+,Tm3+,Al3+,1.001,1.27,1.02,1.25,0.675,1.61,0.03510728984375007
Pr3+,Yb3+,Ga3+,1.13,1.13,1.008,1.1,0.76,1.81,-0.1806574361250007
Sr2+,Y3+,Ti4+,1.32,0.95,1.04,1.22,0.745,1.54,-0.2024929491249992
Lu3+,Sc3+,Ga3+,1.001,1.27,0.885,1.36,0.76,1.81,-0.012039821781249672
Na1+,Yb3+,P5+,1.16,0.93,1.008,1.1,0.52,2.19,-0.589409958625
Cd2+,Lu3+,Ge4+,1.09,1.69,1.001,1.27,0.67,2.01,-0.07789358043749992
Tb3+,Lu3+,Ga3+,1.063,1.1,1.001,1.27,0.76,1.81,-0.03958389721875015
Bi3+,Er3+,Ga3+,1.17,2.02,1.03,1.24,0.76,1.81,-0.007194668000000348
Zn2+,Lu3+,Ti4+,0.88,1.65,1.001,1.27,0.745,1.54,0.19576016881250097
Lu3+,Ga3+,Al3+,1.001,1.27,0.76,1.81,0.675,1.61,-0.018136856093749286
Lu3+,Er3+,Al3+,1.001,1.27,1.03,1.24,0.675,1.61,0.043908678968750794
Yb3+,Yb3+,Al3+,1.008,1.1,1.008,1.1,0.675,1.61,-0.29581643018750015
Tb3+,Rh3+,Ga3+,1.063,1.1,0.805,2.28,0.76,1.81,-0.04469414553124977
Zn2+,Cr3+,Ti4+,0.88,1.65,0.755,1.66,0.745,1.54,0.1518286453750008
Eu3+,Lu3+,Ga3+,1.087,1.2,1.001,1.27,0.76,1.81,-0.03184734451562541
